QB Name,Number of Years on Contract,Total Contract Size,Salary per Year,Age,Previous Contract Years
Tom Brady,1,25000000,25000000.0,44,2020-2021
Aaron Rodgers,3,150815000,50271666.666666664,38,2018-2021
Patrick Mahomes,10,450000000,45000000.0,26,2017-2021
Josh Allen,6,258034000,43005666.666666664,25,2018-2021
Matthew Stafford,4,160000000,40000000.0,34,2017-2021
Dak Prescott,4,160000000,40000000.0,28,2016-2019
Derek Carr,3,121500000,40500000.0,31,2017-2021
Ryan Tannehill,4,118000000,29500000.0,33,2019-2019
Kirk Cousins,1,35000000,35000000.0,33,2020-2021
Matt Ryan,5,150000000,30000000.0,36,2013-2018
Jimmy Garoppolo,5,137500000,27500000.0,30,2014-2017
Teddy Bridgewater,1,6500000,6500000.0,29,2021-2021
Carson Wentz,4,128000000,32000000.0,29,2016-2020
Jameis Winston,2,28000000,14000000.0,28,2021-2021
Jared Goff,4,134000000,33500000.0,27,2016-2020
Deshaun Watson,5,230000000,46000000.0,26,2020-2021
Mitchell Trubisky,2,14285000,7142500.0,27,2021-2021
Taylor Heinicke,2,4750000,2375000.0,29,2020-2020
